recorte,linha,coluna,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,grupo
0,0,0,0.04499858,0.05537138,0.06372781,0.06372781,0.00624929,4.49256182,0.05073223,0.13517950,0.07809804,0.09832393,0.11390239,0.11390239,0.01969765,4.49792051,0.12638029,0.32296500,0.11625432,0.16377538,0.18060708,0.18060708,0.04814658,4.53119326,0.25423893,0.61385411,1
1,0,512,0.07685317,0.07888399,0.09675713,0.09675713,0.00800886,15.17082787,0.06771205,0.18107478,0.13811135,0.14709997,0.17917684,0.17917684,0.02543012,15.17806911,0.17636281,0.45493299,0.23500393,0.26373518,0.31331426,0.31331426,0.06618351,15.18455887,0.42087990,1.06439722,0
2,0,1024,0.04525657,0.05841774,0.06179497,0.06179497,0.00666046,15.48729897,0.05067954,0.13351998,0.07530378,0.10317396,0.10881355,0.10881355,0.01933336,15.48970604,0.11482295,0.28805685,0.12266472,0.18180811,0.18973246,0.18973246,0.04627091,15.49484921,0.25855613,0.63972205,1
3,0,1536,0.06305879,0.03373891,0.06304575,0.06304575,0.00753941,5.52324867,0.06373145,0.16934299,0.11145005,0.05310567,0.10983603,0.10983603,0.02297226,5.53312206,0.15485860,0.39038569,0.16584839,0.07942892,0.16310208,0.16310208,0.05785533,5.53360891,0.29961073,0.67607456,1
4,512,0,0.07733651,0.04655067,0.07129428,0.07129428,0.00910247,10.09641171,0.07261841,0.19269457,0.13238013,0.07253774,0.11960486,0.11960486,0.02797321,10.04814911,0.16564584,0.41365224,0.19461367,0.10021216,0.17507038,0.17507038,0.06362448,9.89488125,0.29615420,0.67965019,1
5,512,512,0.05065505,0.02181658,0.04353941,0.04353941,0.00652244,13.70602322,0.04693399,0.12212436,0.08243145,0.02727287,0.06832230,0.06832230,0.01806454,13.66850376,0.09172017,0.21830292,0.13081658,0.03077692,0.10508372,0.10508372,0.03710035,13.51469612,0.16824275,0.37679368,1
6,512,1024,0.06238601,0.03823792,0.05779406,0.05779406,0.00964264,16.26179695,0.06805038,0.17692080,0.09479386,0.04773812,0.08405023,0.08405023,0.02608545,16.23213577,0.12322186,0.28948563,0.13308939,0.05416530,0.11505343,0.11505343,0.05285102,16.10798073,0.20294216,0.43792313,1
7,512,1536,0.10901020,0.06361616,0.10848775,0.10848775,0.01539806,12.39186859,0.12074937,0.31797829,0.17484802,0.09428169,0.17291924,0.17291924,0.04431462,12.39011860,0.24790516,0.60102993,0.23862033,0.13459738,0.24539533,0.24539533,0.09680197,12.26910210,0.42609295,0.93524414,0
8,1024,0,0.10876103,0.10078795,0.12709990,0.12709990,0.01812103,6.51935768,0.14730856,0.39127272,0.17230099,0.15369006,0.19399248,0.19399248,0.05590260,6.56605244,0.30981651,0.74784720,0.22562566,0.18983488,0.24307925,0.24307925,0.12156772,6.70762539,0.49225783,1.04700875,0
9,1024,512,0.09041476,0.19201706,0.17261136,0.17261136,0.02162025,11.91884422,0.18144435,0.48356938,0.14774679,0.32067028,0.28750411,0.28750411,0.06627613,11.93952370,0.41105771,1.02668881,0.21531580,0.44048816,0.40581971,0.40581971,0.15538524,12.01150608,0.73421782,1.67721355,2
