recorte,linha,coluna,escala1_horizontal,escala1_vertical,escala1_45_graus,escala1_135_graus,escala1_laplaciano,escala1_log,escala1_difusao,escala1_circular,escala2_horizontal,escala2_vertical,escala2_45_graus,escala2_135_graus,escala2_laplaciano,escala2_log,escala2_difusao,escala2_circular,escala3_horizontal,escala3_vertical,escala3_45_graus,escala3_135_graus,escala3_laplaciano,escala3_log,escala3_difusao,escala3_circular,grupo
0,0,0,15.85573959,18.65526199,20.35244751,17.53637695,6.69586945,81.86608083,14.31193510,64.13944626,19.97894287,25.14447021,29.12854004,24.71411133,5.12667847,140.45337013,24.79994023,82.88340759,24.26812744,38.74298096,41.18969727,34.54113770,7.99023438,182.13081470,31.66123644,128.90417480,3
1,0,512,24.71664810,24.10703659,28.88116837,26.70946884,7.74440384,111.88434095,19.70642000,79.57436371,35.21888733,37.70689392,45.81611633,42.10472107,6.63993835,212.86894615,37.91481232,116.88000488,55.47113037,62.67486572,74.59576416,69.92218018,11.81951904,415.62274777,73.59623570,238.01232910,1
2,0,1024,17.62112808,20.43299484,21.18884659,20.65690994,7.82602310,79.83098355,13.82698159,70.72560883,19.29394531,26.53302002,27.92524719,27.34007263,5.18244934,126.91923345,22.53469297,74.69876099,28.46099854,43.30548096,45.06896973,44.38635254,7.33789062,251.39081303,44.64445825,141.54449463,3
3,0,1536,20.59427261,13.82603836,20.79704285,20.41274261,6.83914185,108.13334195,19.14628982,74.64591980,28.41900635,13.90316772,28.18464661,27.71711731,6.12669373,170.84036118,30.41581049,100.73426819,32.23870850,17.65887451,32.90075684,32.93591309,9.16882324,138.55276695,23.66876934,129.61315918,3
4,512,0,26.51703644,19.19463348,25.09623718,25.37585449,8.97662354,117.88805209,20.54557219,92.33498764,33.90493774,18.54501343,30.61749268,31.97982788,7.26675415,164.80143502,28.93700465,106.46960449,42.88250732,21.63189697,38.79357910,40.43420410,9.50695801,196.20129171,34.39372285,139.17962646,3
5,512,512,19.83852768,12.33742905,17.76096725,17.72472000,8.06570816,74.11307438,12.78470751,71.30257034,21.20211792,7.14196777,17.59819031,17.50251770,4.86064148,84.61851139,14.95342725,57.08718872,29.18029785,6.24633789,23.24737549,22.94354248,4.98468018,121.46014521,21.49514523,75.44958496,3
6,512,1024,26.34819412,20.36456680,25.11936188,24.80051422,11.11891174,104.46045955,17.80332898,103.63471985,24.42828369,12.59487915,21.74446106,21.64018250,7.01554871,101.28543439,17.69241186,75.75085449,28.73199463,10.69561768,24.67687988,24.67236328,6.08911133,122.92003265,21.61621391,83.01391602,3
7,512,1536,40.51020050,27.36434174,40.20493317,38.60686493,13.61219788,199.24888391,34.74797477,155.06118011,45.03138733,24.70304871,44.67442322,42.31001282,11.81129456,232.18979881,40.96364712,156.33515930,50.90716553,28.64190674,52.82366943,49.26947021,12.86456299,240.51498588,41.94855188,182.91564941,1
8,1024,0,39.25732422,37.93183136,46.51911163,40.36437988,13.86949158,244.73305142,42.65884719,176.88740540,44.63441467,39.36891174,50.02229309,46.43241882,14.61369324,261.57863415,45.67041709,193.51048279,49.51721191,39.34680176,52.56536865,50.08843994,15.20758057,280.36345340,48.88119315,203.77191162,1
9,1024,512,31.69090652,63.79397202,57.25665283,54.28706360,15.90301514,303.94775333,53.35307861,208.93825150,38.18876648,82.92524719,74.29823303,70.25999451,17.48377991,405.10940430,71.23236727,266.85060120,47.86486816,94.12500000,87.61761475,81.49346924,22.83172607,462.65142699,80.68472677,337.64294434,4
10,1024,1024,30.08156204,53.09462357,54.02167511,43.08911896,13.93141174,264.25415506,46.44366523,181.03284454,39.01821899,69.23080444,72.39492798,56.62628174,15.12078857,360.57394907,63.59412464,231.42387390,53.40209961,88.21154785,94.45117188,74.53869629,20.25939941,487.20741527,85.39766460,327.49145508,4
11,1024,1536,29.10554886,53.95138168,49.28927994,46.15903854,13.86256790,269.07221677,47.18154679,184.06152344,35.10954285,65.87501526,60.69117737,57.06150818,15.63447571,333.07257972,58.40692416,228.79376221,41.69006348,71.62890625,67.65533447,63.35882568,19.03204346,342.35032168,59.37889146,266.71685791,4
12,1536,0,26.02446747,32.98442841,36.86337280,28.24573517,10.37255859,173.90622143,30.31157440,125.89980316,31.33676147,40.80740356,45.95062256,36.03305054,10.60415649,230.37225598,40.37925261,154.73626709,38.47210693,49.09588623,55.51568604,44.16571045,13.35736084,268.62744437,46.54584102,196.11853027,1
13,1536,512,21.73272324,57.00868607,46.95735168,46.35414886,12.42837524,244.35624811,43.09979761,163.90092468,26.02302551,82.24830627,66.44810486,65.96965027,13.95365906,385.75884642,68.29440976,232.87031555,32.98907471,97.41668701,80.23547363,79.63159180,21.21105957,417.79400794,72.62485776,319.04992676,4
14,1536,1024,21.20138168,41.39847946,40.55781174,30.39097977,10.44923782,180.79621348,31.72206791,126.86973572,26.83413696,56.47244263,54.85955811,41.53540039,10.64663696,265.36039604,46.72365525,166.24424744,35.59008789,68.21789551,66.05694580,53.25384521,15.14105225,318.80303360,55.19760439,234.10101318,1
15,1536,1536,39.51685715,64.89206314,60.30216599,51.75284958,16.96347427,331.06908315,57.53673736,229.37758255,49.14964294,85.83540344,75.99269104,69.72285461,20.31532288,412.98382389,71.18882943,301.89871216,52.24249268,92.59674072,79.20562744,77.78985596,25.66925049,399.82155799,68.81486993,327.26293945,4
